software_name,aliases,op_type,platform,package_manager,summary,steps,commands,pre_requirements,notes,mode
kubectx,kubens,install,all,git,"Kubernetes 上下文与命名空间快速切换工具","克隆仓库并创建符号链接（同时安装 kubens）","sudo git clone https://github.com/ahmetb/kubectx /opt/kubectx; sudo ln -s /opt/kubectx/kubectx /usr/local/bin/kubectx; sudo ln -s /opt/kubectx/kubens /usr/local/bin/kubens",,,也可通过 kubectl krew install ctx / ns 安装,strict
dive,,install,linux,curl,"Docker 镜像分层分析工具","从 GitHub 下载最新二进制","DIVEVER=$(curl -s https://api.github.com/repos/wagoodman/dive/releases/latest | grep '\"tag_name\"' | cut -d'\"' -f4); curl -L https://github.com/wagoodman/dive/releases/download/${DIVEVER}/dive_${DIVEVER#v}_linux_amd64.tar.gz | tar -xz -C /tmp dive; sudo mv /tmp/dive /usr/local/bin/; sudo chmod +x /usr/local/bin/dive",,,strict
dive,,install,macos,brew,"Docker 镜像分层分析工具","使用 Homebrew 安装","brew install dive",homebrew,,strict
age,,install,linux-debian,apt,"现代文件加密工具（GPG 替代）","使用 apt 安装","sudo apt update && sudo apt install -y age",,,strict
age,,install,linux-rhel,dnf,"现代文件加密工具","使用 dnf 安装","sudo dnf install -y age",,,strict
age,,install,macos,brew,"现代文件加密工具","使用 Homebrew 安装","brew install age",homebrew,,strict
sops,,install,linux,curl,"密钥管理加密工具（支持 YAML/JSON/ENV）","从 GitHub 下载最新二进制","SOPSVER=$(curl -s https://api.github.com/repos/getsops/sops/releases/latest | grep '\"tag_name\"' | cut -d'\"' -f4); curl -L -o /tmp/sops https://github.com/getsops/sops/releases/download/${SOPSVER}/sops-${SOPSVER}.linux.amd64; sudo mv /tmp/sops /usr/local/bin/sops; sudo chmod +x /usr/local/bin/sops",,,通常配合 age 或 AWS KMS 使用,strict
sops,,install,macos,brew,"密钥管理加密工具","使用 Homebrew 安装","brew install sops",homebrew,,strict
trufflehog,,install,linux,curl,"密钥与敏感信息扫描工具","执行官方安装脚本","curl -sSfL --connect-timeout 30 https://raw.githubusercontent.com/trufflesecurity/trufflehog/main/scripts/install.sh | sh -s -- -b /usr/local/bin",,,若 raw.githubusercontent.com 无法访问需手动下载,strict
trufflehog,,install,macos,brew,"密钥与敏感信息扫描工具","使用 Homebrew 安装","brew install trufflehog",homebrew,,strict
gh,github-cli,install,linux-debian,apt,"GitHub 官方命令行工具","添加 GitHub 官方 apt 仓库并安装","sudo mkdir -p -m 755 /etc/apt/keyrings; curl -fsSL https://cli.github.com/packages/githubcli-archive-keyring.gpg | sudo tee /etc/apt/keyrings/githubcli-archive-keyring.gpg > /dev/null; sudo chmod go+r /etc/apt/keyrings/githubcli-archive-keyring.gpg; echo \"deb [arch=$(dpkg --print-architecture) signed-by=/etc/apt/keyrings/githubcli-archive-keyring.gpg] https://cli.github.com/packages stable main\" | sudo tee /etc/apt/sources.list.d/github-cli.list > /dev/null; sudo apt update; sudo apt install -y gh",,,strict
gh,github-cli,install,macos,brew,"GitHub 官方命令行工具","使用 Homebrew 安装","brew install gh",homebrew,,strict
direnv,,install,linux-debian,apt,"按目录加载/卸载环境变量工具","使用 apt 安装","sudo apt update && sudo apt install -y direnv",,,"需在 shell rc 中添加 eval \"$(direnv hook bash)\" 或 eval \"$(direnv hook zsh)\"",strict
direnv,,install,linux-rhel,dnf,"按目录加载/卸载环境变量工具","使用 dnf 安装","sudo dnf install -y direnv",,,"需在 shell rc 中添加 eval \"$(direnv hook bash)\" 或 eval \"$(direnv hook zsh)\"",strict
direnv,,install,macos,brew,"按目录加载/卸载环境变量工具","使用 Homebrew 安装","brew install direnv",homebrew,"需在 shell rc 中添加 eval \"$(direnv hook bash)\" 或 eval \"$(direnv hook zsh)\"",strict
atuin,,install,linux,curl,"Shell 历史同步与搜索工具","执行官方安装脚本","curl --proto '=https' --tlsv1.2 -sSf --connect-timeout 30 https://setup.atuin.sh | sh",,,安装后执行 atuin import auto 导入旧历史,strict
atuin,,install,macos,brew,"Shell 历史同步与搜索工具","使用 Homebrew 安装","brew install atuin",homebrew,,strict
just,justfile,install,all,cargo,"Make 替代品，justfile 命令运行器","配置中科大 Cargo 镜像后安装","mkdir -p ~/.cargo && echo '[source.crates-io]\nreplace-with = \"ustc\"\n[source.ustc]\nregistry = \"sparse+https://mirrors.ustc.edu.cn/crates.io-index/\"' > ~/.cargo/config.toml; cargo install just",rust,,strict
just,justfile,install,macos,brew,"Make 替代品，justfile 命令运行器","使用 Homebrew 安装","brew install just",homebrew,,strict
